category_id,category_name,sub_cat1,sub_cat2,sub_cat3
82,Electronics|Cameras&Photography|Accessories|Tripods&Monopods|CompleteTripodUnits,Electronics,Cameras_Photography,CompleteTripodUnits
83,"Electronics|Headphones,Earbuds&Accessories|Cases",Electronics,Headphones_Earbuds_Accessories,Cases
84,Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCMicrophones,Computers_Accessories,Accessories_Peripherals,PCMicrophones
85,Home&Kitchen|CraftMaterials|Scrapbooking|Tape,Home_Kitchen,CraftMaterials,Tape
86,Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|Tripods,Electronics,Mobiles_Accessories,Tripods
87,Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|SelfieSticks,Electronics,Mobiles_Accessories,SelfieSticks
88,"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|StorageWaterHeaters",Home_Kitchen,Heating_Cooling_AirQuality,StorageWaterHeaters
89,Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|Flashes&SelfieLights|SelfieLights,Electronics,Mobiles_Accessories,SelfieLights
90,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|HandheldVacuums",Home_Kitchen,Kitchen_HomeAppliances,HandheldVacuums
91,Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|Headsets,Computers_Accessories,Accessories_Peripherals,Headsets
92,Electronics|Mobiles&Accessories|MobileAccessories|Cables&Adapters|OTGAdapters,Electronics,Mobiles_Accessories,OTGAdapters
93,Computers&Accessories|Accessories&Peripherals|USBGadgets|Lamps,Computers_Accessories,Accessories_Peripherals,Lamps
94,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|GraphicTablets",Computers_Accessories,Accessories_Peripherals,GraphicTablets
95,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Rice&PastaCookers,Home_Kitchen,Kitchen_HomeAppliances,Rice_PastaCookers
96,"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters",Home_Kitchen,Heating_Cooling_AirQuality,ElectricHeaters
97,Home&Kitchen|Kitchen&HomeAppliances|SewingMachines&Accessories|Sewing&EmbroideryMachines,Home_Kitchen,Kitchen_HomeAppliances,Sewing_EmbroideryMachines
